,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
400,4,4,1,4.0,4.0,4.0,Taxi/Private hire car,Bus,Walk,Bus,Taxi/Private hire car,Walk,0.0
401,2,4,1,4.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,2.0
402,4,3,2,2.0,3.0,3.0,Walk,Bus,Cycle,Walk,Bus,Taxi/Private hire car,0.0
403,4,6,2,4.0,1.0,1.0,Car,Bus,Walk,Car,Bus,Walk,1.0
404,3,4,2,2.0,2.0,2.0,Walk,Car,Cycle,Walk,Car,Cycle,1.0
405,3,6,2,1.0,4.0,1.0,Car,Bus,Walk,Car,Walk,None,1.0
406,3,5,2,5.0,5.0,5.0,Walk,Car,None,Car,Bus,Walk,1.0
407,5,2,1,4.0,4.0,4.0,Walk,Bus,None,Walk,Bus,None,0.0
408,4,2,1,1.0,3.0,2.0,Tram,Car,Walk,Tram,Bus,Walk,1.0
409,5,4,2,4.0,4.0,3.0,Walk,Car,None,Bus,Walk,Car,1.0
410,4,5,2,4.0,3.0,3.0,Walk,Car,Cycle,Walk,Car,Cycle,1.0
411,3,1,2,1.0,4.0,1.0,Car,Walk,None,Car,Bus,Walk,2.0
412,2,4,1,4.0,4.0,4.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
413,2,4,1,4.0,4.0,3.0,Walk,Car,None,Car,Bus,Walk,1.0
414,1,4,1,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
415,5,6,1,3.0,3.0,4.0,Car,None,,Car,None,,1.0
416,3,6,1,5.0,4.0,4.0,Car,None,,Car,Bus,Walk,2.0
417,5,6,1,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,0.0
418,2,4,1,5.0,5.0,5.0,Bus,Walk,None,Bus,Taxi/Private hire car,Walk,0.0
419,2,3,2,4.0,4.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,1.0
420,2,5,1,1.0,4.0,1.0,Walk,Bus,Car,Walk,Bus,Car,1.0
421,5,6,2,5.0,4.0,3.0,Walk,Car,Tram,Bus,Tram,Car,1.0
422,5,7,2,2.0,2.0,2.0,Car,Taxi/Private hire car,Walk,Car,Bus,Taxi/Private hire car,1.0
423,4,3,1,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
424,5,4,2,3.0,3.0,1.0,Walk,Car,Bus,Bus,Car,Walk,1.0
425,3,4,1,4.0,4.0,4.0,Bus,Other,Walk,Walk,Bus,Cycle,0.0
426,4,5,2,3.0,3.0,3.0,Bus,Walk,Car,Car,Bus,Walk,1.0
427,5,2,1,4.0,4.0,4.0,Car,Walk,None,Car,Bus,Walk,2.0
